popularity,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
1.1647239999999999,97.0,2015-06-04,610,6.3,2015,9199995.95200178,95959500.6978197
1.142518,104.0,2015-11-13,135,5.9,2015,5519997.57120106,38076655.2862716
1.138395,109.0,2015-11-10,408,5.5,2015,36799983.808007106,31489100.3047958
1.1252389999999999,90.0,2015-12-30,259,6.7,2015,7359996.76160142,3458541.59824169
1.03839,102.0,2015-08-07,186,6.8,2015,1839999.19040035,1358841.24210985
1.0070540000000001,95.0,2015-07-17,319,6.1,2015,10119995.5472019,25199786.192094002
0.956096,100.0,2015-07-10,152,5.5,2015,16559992.713603199,38019285.0315145
0.950793,100.0,2015-09-11,122,5.6,2015,11039995.1424021,55451294.7614303
0.9376200000000001,97.0,2015-03-27,265,5.9,2015,9199995.95200178,6980483.12858742
0.9273389999999999,100.0,2015-03-26,661,5.9,2015,36799983.808007106,97990493.6441828
0.9060360000000001,120.0,2015-08-06,262,5.8,2015,22999989.8800044,22910495.079382103
0.898295999999999,106.0,2015-10-16,231,7.1,2015,12879994.3328024,14722219.9222232
0.880937999999999,96.0,2015-08-26,412,6.2,2015,5519997.57120106,10232318.297779901
0.8324870000000001,122.0,2015-02-26,196,6.4,2015,9199995.95200178,79099969.91601321
0.829111,106.0,2015-04-23,113,7.1,2015,18399991.9040035,5906690.88105601
0.814206,105.0,2015-05-27,469,5.2,2015,34039985.0224065,24150007.7739965
0.795762,108.0,2015-09-11,122,5.7,2015,25759988.665604897,6442077.28548599
0.706023,103.0,2015-10-02,86,7.1,2015,6439997.16640124,527467.967914094
0.699932,134.0,2015-07-06,307,4.7,2015,2759998.78560053,639647.198555232
0.69957,121.0,2015-09-12,89,6.4,2015,8831996.11392171,2338228.65117939
0.690479,107.0,2015-03-20,114,6.6,2015,9199995.95200178,9968887.45368952
0.6895789999999989,100.0,2015-10-22,56,5.1,2015,13799993.9280026,2779009.65723575
0.6737920000000001,95.0,2015-11-27,87,6.6,2015,919999.595200178,13289393.2326669
0.669351,91.0,2015-07-24,164,4.5,2015,11959994.737602301,1641981.23752825
0.661471,112.0,2015-09-25,121,6.8,2015,7359996.76160142,1298972.2684521999
0.6611630000000001,93.0,2015-02-20,244,5.0,2015,12879994.3328024,11329473.935031401
0.654046,97.0,2015-06-03,35,5.0,2015,3679998.38080071,131652.86207274
0.602165,104.0,2015-09-02,171,5.4,2015,7359996.76160142,33111785.4708143
0.599655,83.0,2015-01-29,327,4.9,2015,3035998.66416058,58981843.80798871
0.577814,90.0,2015-03-05,241,4.9,2015,32199985.8320062,13276746.918231301
0.570743999999999,95.0,2015-04-08,129,5.7,2015,1839999.19040035,41796.5016095392
0.532205,87.0,2015-07-10,247,5.0,2015,91999.95952001779,39251239.9294544
0.524315,122.0,2015-11-12,82,5.4,2015,9199995.95200178,3068131.49002214
0.46208999999999995,121.0,2015-01-30,72,6.7,2015,8279996.356801599,19845485.147986498
0.45087200000000005,123.0,2015-09-11,19,5.6,2015,11959994.737602301,1515044.29338051
0.43558199999999997,119.0,2015-10-22,69,5.7,2015,4599997.97600089,2146988.33532513
0.424813,137.0,2015-09-11,306,7.5,2015,5519997.57120106,83514.8032534865
0.41491300000000003,83.0,2015-02-12,91,5.0,2015,2759998.78560053,3116038.628943
0.40223600000000004,101.0,2015-05-08,47,4.2,2015,411721.89884236397,709611.327771015
0.36590100000000003,111.0,2015-07-01,48,5.0,2015,9199995.95200178,16074.2329273375
0.336107,97.0,2015-09-17,55,5.7,2015,1839999.19040035,2577386.22595006
0.29875100000000004,121.0,2015-09-11,24,5.7,2015,4599997.97600089,4455281.1196763
0.259794,78.0,2015-06-04,81,5.6,2015,551999.757120106,6520452.97100069
0.7310220000000001,120.0,2015-08-28,57,6.9,2015,2759998.78560053,62366880.1985727
0.07610900000000001,129.0,2015-09-18,14,5.6,2015,12419994.5352024,172660.004029598
24.949134,169.0,2014-11-05,6498,8.0,2014,151980023.37728998,572690645.122961
14.311205,121.0,2014-07-30,5612,7.9,2014,156585478.631148,712291130.169508
12.971027000000001,136.0,2014-03-20,3848,7.6,2014,156585478.631148,658365092.859794
11.422751,101.0,2014-10-22,2712,7.0,2014,18421821.015429102,72526614.4653665
10.739009,123.0,2014-11-18,3590,6.6,2014,115136381.346432,692752790.215065
10.174599,144.0,2014-12-10,3110,7.1,2014,230272762.692864,879752289.141534
8.691294000000001,102.0,2014-10-24,4185,7.8,2014,151980023.37728998,600648487.706658
8.110711,113.0,2014-11-14,3478,8.0,2014,12895274.7108004,215126072.495392
7.1372729999999995,113.0,2014-09-10,3425,7.0,2014,31317095.7262296,320834306.773058
6.9071479999999905,119.0,2014-10-17,2801,7.3,2014,16579638.9138862,95070499.387935
6.438727,145.0,2014-10-01,3720,7.9,2014,56186554.097059,340186892.137474
6.415818,135.0,2014-10-15,2572,7.4,2014,62634191.4524592,195103577.60975
6.2866919999999995,97.0,2014-12-17,1111,6.1,2014,116978563.447975,321851579.072442
6.14502,139.0,2014-03-14,3038,6.9,2014,78292739.315574,265963102.013597
6.052479,131.0,2014-05-15,4006,7.6,2014,230272762.692864,687133923.875509
5.947136,89.0,2014-07-14,3699,6.3,2014,36843642.03085829,426796807.31419903
5.787396,101.0,2014-08-07,1836,5.8,2014,115136381.346432,439544649.42814
5.701683,97.0,2014-07-17,1150,5.3,2014,36843642.03085829,116121496.515052
5.522641,117.0,2014-10-23,2087,7.6,2014,7829273.9315574,35643660.268461205
4.983782,165.0,2014-06-25,2161,5.9,2014,193429120.66200602,226127852.96439302
4.93082,99.0,2014-02-26,2802,7.9,2014,27632731.5231437,160822790.371651
4.780419,105.0,2014-10-10,2372,8.2,2014,3039600.46754581,12888912.7349127
4.452507,130.0,2014-06-26,2625,7.4,2014,156585478.631148,652316682.1563469
4.1452089999999995,132.0,2014-09-24,2100,7.2,2014,50660007.7924302,177154121.56007
4.105685,108.0,2014-11-26,1033,6.1,2014,38685824.132401295,98230083.9390274
4.101979,142.0,2014-04-16,2813,6.6,2014,184218210.154291,650030010.988616
3.990452,113.0,2014-05-27,3267,7.7,2014,163954207.037319,341302234.843216
3.9892309999999997,112.0,2014-12-25,1657,6.1,2014,40528006.2339442,10413095.519905198
3.8630739999999997,134.0,2014-12-11,3004,7.5,2014,54160153.7853618,499514514.09223205
3.81374,153.0,2014-12-03,1377,5.6,2014,128952747.108004,246881718.092715
3.689601,123.0,2014-05-14,2169,6.2,2014,147374568.123433,487327232.33324295
3.5823150000000004,97.0,2014-05-28,2928,7.0,2014,165796389.138862,698565011.988
3.573028,108.0,2014-08-27,481,6.0,2014,13816365.761571802,29987149.858750604
3.489314,89.0,2014-10-24,569,4.9,2014,4605455.25385729,94439261.8744755
3.4891059999999996,102.0,2014-06-12,2152,7.7,2014,133558202.361861,561057788.331434
3.3937410000000003,100.0,2014-08-27,1003,6.6,2014,1842182.10154291,12434729.185414698
3.34625,127.0,2014-08-04,1275,6.2,2014,82898194.5694313,189903685.193185
3.3277989999999997,100.0,2014-02-06,2268,7.5,2014,55265463.0462875,432139714.774945
3.260581,102.0,2014-12-12,675,5.1,2014,87503649.8232886,105168898.623797
3.170271,123.0,2014-11-26,1960,7.8,2014,13816365.761571802,111638022.270139
3.14993,104.0,2014-08-13,912,6.4,2014,15658547.8631148,125840630.063122
3.028769,92.0,2014-10-01,1666,6.1,2014,64476373.5540021,198522018.221023
3.007018,92.0,2014-11-22,939,6.5,2014,121584018.70183201,344075490.780339
2.996038,125.0,2014-12-25,1095,5.6,2014,46054552.5385729,196102469.53721598
2.979181,102.0,2014-03-05,1664,6.1,2014,101320015.58486,310941963.895073
2.881991,94.0,2014-08-11,1151,6.3,2014,23027276.269286398,61695098.59819151
2.8050189999999997,112.0,2014-06-05,2416,7.0,2014,46054552.5385729,173571884.248329
2.777996,113.0,2014-09-18,823,6.2,2014,25790549.4216008,48985095.8257074
2.721864,95.0,2014-11-27,606,7.1,2014,50660007.7924302,238753457.08498597
2.692691,102.0,2014-09-07,255,6.1,2014,6447637.35540021,2174033.70640591
2.67235,115.0,2014-05-08,866,7.2,2014,10132001.558486,42340653.550944105
2.6112509999999998,104.0,2014-07-17,1126,6.6,2014,8289819.45694313,100198906.84914
2.601775,110.0,2014-10-03,253,3.8,2014,14737456.812343301,18129765.1494147
2.595951,164.0,2014-06-05,1343,7.6,2014,3684364.20308583,40849467.0106634
2.576396,125.0,2014-12-30,384,6.4,2014,18421821.015429102,11059604.7229864
2.549403,99.0,2014-07-23,1215,5.6,2014,92109105.0771459,224193561.757773
2.526779,139.0,2014-03-20,1589,5.5,2014,115136381.346432,334022131.054676
2.523101,141.0,2014-10-08,974,7.2,2014,46054552.5385729,77113179.0628635
2.4451650000000003,117.0,2014-05-21,720,6.7,2014,36843642.03085829,113749780.089511
2.376309,96.0,2014-05-08,1829,6.2,2014,16579638.9138862,246997381.33814198
2.361267,106.0,2014-08-21,856,7.2,2014,10132001.558486,72650912.0183039
2.303556,112.0,2014-07-16,421,6.7,2014,41449097.2847156,79366405.41454159
2.293859,125.0,2014-05-16,2389,7.8,2014,11053092.6092575,281072099.32309
2.1654619999999998,99.0,2014-01-17,634,6.1,2014,23027276.269286398,141846012.919223
2.160156,148.0,2014-12-25,552,6.3,2014,18421821.015429102,10234219.6378454
2.141491,105.0,2014-01-15,873,5.9,2014,55265463.0462875,46560330.0821889
2.1367580000000004,106.0,2014-01-26,1648,6.8,2014,46054552.5385729,205227928.585968
2.116264,97.0,2014-08-28,1136,7.2,2014,5066000.77924302,2763273.15231437
1.957672,106.0,2014-09-12,583,6.6,2014,11605747.2397203,17186067.760984197
1.9407349999999999,102.0,2014-01-30,1709,5.7,2014,110530926.092575,220490244.264135
1.904422,119.0,2014-04-16,1555,5.9,2014,92109105.0771459,94908538.42193149
1.9000380000000001,109.0,2014-04-16,1056,6.2,2014,36843642.03085829,181253395.83243102
1.8947060000000002,92.0,2014-02-07,592,6.8,2014,133558202.361861,251377196.917292
1.840817,102.0,2014-08-20,857,6.2,2014,59870918.3001448,36298002.429838106
1.8116919999999999,102.0,2014-03-19,659,6.5,2014,94872378.2294603,460719091.177882
1.805954,110.0,2014-11-12,790,5.5,2014,36843642.03085829,156435350.000782
1.7798610000000001,118.0,2014-01-24,1083,5.7,2014,64476373.5540021,142754407.65095
1.769987,137.0,2014-12-25,981,7.2,2014,59870918.3001448,150545826.582503
1.754707,127.0,2014-12-25,580,7.5,2014,18421821.015429102,61517744.3585475
1.737699,138.0,2014-05-22,389,8.0,2014,4513346.14878015,3218356.60776903
1.6493209999999898,115.0,2014-12-05,677,6.9,2014,13816365.761571802,48358699.566810794
1.638781,105.0,2014-02-18,837,5.1,2014,119741836.60028899,108533660.811904
1.63015,117.0,2014-10-16,535,7.2,2014,23948367.3200579,33091313.2824092
1.5880100000000001,119.0,2014-12-19,331,6.1,2014,59870918.3001448,123262077.11558402
1.5450549999999899,95.0,2014-10-01,531,7.3,2014,46054552.5385729,89748446.3496701
1.542392,102.0,2014-10-09,531,7.1,2014,11974183.660028901,50510085.4864604
1.541069,130.0,2014-03-13,1117,6.2,2014,60792009.350916296,187237211.341578
1.4490459999999898,122.0,2014-08-06,352,7.2,2014,20264003.1169721,81867328.80832
1.440084,97.0,2014-09-10,498,6.6,2014,55265463.0462875,99713420.94137341
1.3987129999999999,105.0,2014-12-24,710,6.8,2014,9210910.50771459,26604343.496959
1.394382,93.0,2014-08-22,165,4.6,2014,16579638.9138862,245550715.73380098
1.319416,95.0,2014-03-15,400,5.8,2014,3684364.20308583,553479.928044367
1.3155,89.0,2014-08-06,572,5.7,2014,46054552.5385729,147929243.62766102
1.240895,83.0,2014-07-17,223,5.9,2014,46054552.5385729,139237453.588524
1.214094,110.0,2014-03-28,422,5.4,2014,32238186.777001,16126939.242070999
1.146492,84.0,2014-09-12,105,5.8,2014,12158401.870183198,49582713.5158137
1.142614,99.0,2014-12-05,725,7.5,2014,4605455.25385729,38499379.6451773
1.1403020000000001,93.0,2014-08-14,501,6.1,2014,4605455.25385729,36935751.1359355
1.136851,134.0,2014-05-19,645,6.5,2014,22106185.218515,11141793.6774468
1.077877,103.0,2014-02-12,357,6.6,2014,18421821.015429102,31388867.1409057
1.052381,100.0,2014-05-18,164,6.0,2014,11283365.3719503,2114293.58303497
1.041267,106.0,2014-06-19,175,6.2,2014,22106185.218515,64643485.2611615
1.039133,107.0,2014-11-05,161,6.9,2014,13816365.761571802,8386272.42741572
1.027357,95.0,2014-05-02,402,5.7,2014,13816365.761571802,54536.880025127306
1.0181149999999999,99.0,2014-10-02,827,5.6,2014,5987091.83001448,235130424.650607
0.989916,92.0,2014-01-22,501,5.1,2014,59870918.3001448,65539857.912494496
0.988081,94.0,2014-01-29,713,6.0,2014,7368728.40617167,23993576.3110119
0.98174,109.0,2014-04-11,207,6.5,2014,24869458.370829396,26556109.6429943
0.9796549999999999,90.0,2014-04-22,476,5.8,2014,25790549.4216008,63460252.61843149
0.9678459999999999,93.0,2014-05-22,1089,6.5,2014,1842182.10154291,6149637.68883517
0.9660479999999999,97.0,2014-07-02,381,5.1,2014,18421821.015429102,92593075.7901349
0.92537,118.0,2014-02-13,327,5.9,2014,55265463.0462875,28369817.135793604
0.916435,99.0,2014-09-17,402,6.6,2014,4605455.25385729,2180370.81283522
0.8931209999999989,112.0,2014-12-25,287,6.8,2014,20724548.6423578,14295354.2930672
0.890965,100.0,2014-09-04,194,4.8,2014,4605455.25385729,6294225.03543897
0.8765139999999989,81.0,2014-10-08,380,6.2,2014,25790549.4216008,92711635.866917
0.876066,103.0,2014-09-10,377,6.5,2014,18237602.8052749,38037670.7817944
0.8701040000000001,122.0,2014-05-18,150,6.2,2014,14737456.812343301,2238241.12137308
0.8058390000000001,90.0,2014-09-05,261,5.2,2014,7829273.9315574,6908182.88078594
0.797723,134.0,2014-06-05,181,6.7,2014,36843642.03085829,62032730.9704891
0.796721,100.0,2014-02-14,165,5.8,2014,11513638.134643199,45135933.6961818
0.7863979999999989,124.0,2014-05-09,182,6.6,2014,23027276.269286398,35284812.4059911
0.778247,120.0,2014-01-18,192,6.3,2014,5066000.77924302,5050617.63760409
0.777096,87.0,2014-01-18,76,7.0,2014,6171310.04016878,1317763.51724144
0.757089,108.0,2014-03-14,704,6.0,2014,12250510.975260401,4955701.04700419
0.7517729999999989,107.0,2014-03-13,323,6.3,2014,5526546.30462875,3210119.29050198
0.740796,138.0,2014-02-28,61,5.8,2014,20264003.1169721,62450032.192132205
0.728025,90.0,2014-02-02,129,6.5,2014,5526546.30462875,13881.7632261766
0.72546,79.0,2014-02-02,141,7.0,2014,3223818.6777001,4748523.72131837
0.722877,107.0,2014-01-02,232,5.7,2014,7829273.9315574,709890.3993758679
0.714661,115.0,2014-08-22,94,6.2,2014,13816365.761571802,27750597.097273603
0.688179,91.0,2014-05-02,23,5.2,2014,1842182.10154291,44571.5959468309
0.667732,98.0,2014-04-01,147,5.1,2014,184218.210154291,16427536.3853992
